Rank,Name,Worldwide Box Office,Movies,Average
157,Christopher Miller,"$1,238,550,410",5,"$247,710,082"
158,David Ayer,"$1,230,812,597",11,"$111,892,054"
159,Paul Feig,"$1,225,525,492",11,"$111,411,408"
160,Jennifer Yuh Nelson,"$1,224,369,800",3,"$408,123,267"
161,Peter Segal,"$1,222,614,091",12,"$101,884,508"
162,Renny Harlin,"$1,204,764,760",25,"$48,190,590"
163,Gary Ross,"$1,197,400,146",6,"$199,566,691"
164,Adam Shankman,"$1,193,722,633",10,"$119,372,263"
165,Baz Luhrmann,"$1,187,826,864",6,"$197,971,144"
166,Roger Allers,"$1,179,206,303",3,"$393,068,768"
167,Michael Apted,"$1,169,928,194",25,"$46,797,128"
168,Joel Coen,"$1,162,884,389",19,"$61,204,442"
169,Simon West,"$1,149,902,698",13,"$88,454,054"
170,Mel Gibson,"$1,146,175,415",8,"$143,271,927"
171,Ryan Fleck,"$1,142,713,332",6,"$190,452,222"
172,Muye Wen,"$1,137,900,519",4,"$284,475,130"
173,Anna Boden,"$1,137,801,607",5,"$227,560,321"
174,David Silverman,"$1,100,379,545",3,"$366,793,182"
175,Robert Schwentke,"$1,094,443,111",9,"$121,604,790"
176,Joseph McGinty Nichol,"$1,091,870,976",11,"$99,260,998"
177,Will Gluck,"$1,091,051,606",8,"$136,381,451"
178,Alan Taylor,"$1,090,174,860",4,"$272,543,715"
179,Michael Mann,"$1,082,550,105",13,"$83,273,085"
180,Josh Cooley,"$1,072,817,964",3,"$357,605,988"
181,Paul King,"$1,072,703,830",4,"$268,175,958"
182,Paul Verhoeven,"$1,066,161,365",13,"$82,012,413"
183,Wu Jing,"$1,054,361,995",2,"$527,180,998"
184,Jonathan Liebesman,"$1,054,256,576",4,"$263,564,144"
185,Han Han,"$1,052,398,816",5,"$210,479,763"
186,Lasse Hallström,"$1,051,382,766",19,"$55,335,935"
187,Patty Jenkins,"$1,048,252,319",4,"$262,063,080"
188,Mike Nichols,"$1,047,431,023",18,"$58,190,612"
189,Brian De Palma,"$1,037,131,273",24,"$43,213,803"
190,Garth Jennings,"$1,035,598,770",2,"$517,799,385"
191,Tim Miller,"$1,032,315,357",2,"$516,157,679"
192,Tyler Perry,"$1,024,494,330",27,"$37,944,234"
193,Peter Sohn,"$1,023,988,123",3,"$341,329,374"
194,Chad Stahelski,"$1,018,516,111",8,"$127,314,514"
195,Stephen Chow,"$1,017,854,320",7,"$145,407,760"
196,Betty Thomas,"$1,016,552,451",7,"$145,221,779"
197,Tom Hooper,"$1,012,962,960",5,"$202,592,592"
198,Frank Coraci,"$995,262,143",9,"$110,584,683"
199,Chris Williams,"$975,278,034",3,"$325,092,678"
200,Francis Ford Coppola,"$967,648,273",23,"$42,071,664"
201,Tim Johnson,"$962,620,890",5,"$192,524,178"
202,John Landis,"$961,753,558",18,"$53,430,753"
203,Danny Boyle,"$958,599,708",16,"$59,912,482"
204,Rawson Marshall Thurber,"$957,914,827",8,"$119,739,353"
205,Rob Reiner,"$955,442,151",21,"$45,497,245"
206,Andy Tennant,"$953,235,557",11,"$86,657,778"
207,Gary Trousdale,"$950,205,863",3,"$316,735,288"
208,David F. Sandberg,"$950,031,457",6,"$158,338,576"
209,Adrian Lyne,"$948,596,185",10,"$94,859,619"
210,Andrew Davis,"$935,717,764",11,"$85,065,251"
211,Adam McKay,"$927,918,446",10,"$92,791,845"
212,Wes Ball,"$924,764,559",6,"$154,127,427"
213,Xu Zheng,"$922,817,254",6,"$153,802,876"
214,James Foley,"$908,908,212",13,"$69,916,016"
215,Jerry Zucker,"$907,747,809",6,"$151,291,302"
216,Paul Weitz,"$900,674,502",13,"$69,282,654"
217,David O. Russell,"$899,499,770",12,"$74,958,314"
218,D.J. Caruso,"$899,043,170",15,"$59,936,211"
219,Wes Craven,"$897,483,799",20,"$44,874,190"
220,John Glen,"$893,563,642",7,"$127,651,949"
221,Brian Levant,"$891,685,930",10,"$89,168,593"
222,Kevin Lima,"$890,853,958",6,"$148,475,660"
223,Mark Waters,"$888,735,482",14,"$63,481,106"
224,Don Hall,"$884,218,748",4,"$221,054,687"
225,Michael Thurmeier,"$879,765,137",1,"$879,765,137"
226,Nora Ephron,"$877,804,290",7,"$125,400,613"
227,Peter Weir,"$875,761,670",12,"$72,980,139"
228,Alejandro Gonzalez Inarritu,"$873,267,860",7,"$124,752,551"
229,Vicky Jenson,"$870,490,959",4,"$217,622,740"
230,Seth MacFarlane,"$860,009,327",3,"$286,669,776"
231,Darren Aronofsky,"$856,822,914",10,"$85,682,291"
232,Makoto Shinkai,"$855,205,963",8,"$106,900,745"
233,Chuck Russell,"$845,744,729",10,"$84,574,473"
234,Nicholas Stoller,"$837,981,333",9,"$93,109,037"
235,John Badham,"$825,101,546",14,"$58,935,825"
236,David Gordon Green,"$816,836,704",18,"$45,379,817"
237,Espen Sandberg,"$816,708,185",4,"$204,177,046"
238,David Frankel,"$811,996,231",10,"$81,199,623"
239,Len Wiseman,"$803,270,454",5,"$160,654,091"
240,Cary Joji Fukunaga,"$800,040,825",5,"$160,008,165"
241,Kevin Reynolds,"$799,973,995",8,"$99,996,749"
242,Robert Luketic,"$792,426,955",8,"$99,053,369"
243,David Slade,"$786,378,984",3,"$262,126,328"
244,Tim Hill,"$784,311,514",8,"$98,038,939"
245,Frank Oz,"$780,044,919",13,"$60,003,455"
246,Brenda Chapman,"$774,963,369",4,"$193,740,842"
247,Brad Silberling,"$770,873,845",8,"$96,359,231"
248,Robert Stromberg,"$758,536,735",1,"$758,536,735"
249,Cameron Crowe,"$757,465,846",9,"$84,162,872"
250,Roger Donaldson,"$755,985,566",18,"$41,999,198"
251,Alex Proyas,"$752,288,625",6,"$125,381,438"
252,Dan Scanlon,"$743,455,810",1,"$743,455,810"
253,Malcolm D. Lee,"$742,828,760",13,"$57,140,674"
254,Yang Yu,"$742,718,496",1,"$742,718,496"
255,John G. Avildsen,"$741,399,381",15,"$49,426,625"
256,Joe Wright,"$739,520,633",10,"$73,952,063"
257,Lee Tamahori,"$736,483,955",11,"$66,953,087"
258,Mark Osborne,"$733,937,806",3,"$244,645,935"
259,Seth Gordon,"$732,745,505",6,"$122,124,251"
260,Jonathan Mostow,"$730,584,420",7,"$104,369,203"
261,John Stevenson,"$729,369,637",3,"$243,123,212"
262,Irvin Kershner,"$727,901,086",3,"$242,633,695"
263,Neill Blomkamp,"$721,719,685",5,"$144,343,937"
264,Raman Hui,"$720,979,406",2,"$360,489,703"
265,Yibai Zhang,"$719,974,617",5,"$143,994,923"
266,William Friedkin,"$719,908,670",19,"$37,889,930"
267,Steve Carr,"$716,323,487",9,"$79,591,499"
268,Jonathan Demme,"$712,710,570",24,"$29,696,274"
269,Timur Bekmambetov,"$712,443,704",11,"$64,767,609"
270,Sean Anders,"$712,285,883",8,"$89,035,735"
271,Curtis Hanson,"$711,185,778",11,"$64,653,253"
272,Chris Wedge,"$710,553,582",3,"$236,851,194"
273,Michael Patrick King,"$709,928,036",3,"$236,642,679"
274,Jeff Fowler,"$707,690,550",3,"$235,896,850"
275,David Zucker,"$704,692,127",10,"$70,469,213"
276,Phyllida Lloyd,"$702,725,250",3,"$234,241,750"
277,Judd Apatow,"$701,203,034",9,"$77,911,448"
278,Joel Crawford,"$700,050,912",3,"$233,350,304"
279,Jason Reitman,"$699,735,860",11,"$63,612,351"
280,John Singleton,"$686,271,634",9,"$76,252,404"
281,Peter Ramsey,"$682,406,297",2,"$341,203,149"
282,Justin K. Thompson,"$681,812,736",2,"$340,906,368"
283,Joaquim Dos Santos,"$681,812,736",3,"$227,270,912"
284,Kemp Powers,"$681,812,736",2,"$340,906,368"
285,Jordan Peele,"$680,359,199",4,"$170,089,800"
286,Roger Spottiswoode,"$680,195,204",14,"$48,585,372"
287,Anne Fletcher,"$678,820,666",7,"$96,974,381"
288,Alan J. Pakula,"$676,146,911",13,"$52,011,301"
289,Keenen Ivory Wayans,"$673,822,088",6,"$112,303,681"
290,Wong Jing,"$664,269,954",11,"$60,388,178"
291,Stephen Herek,"$661,713,517",18,"$36,761,862"
292,John Madden,"$653,830,421",13,"$50,294,648"
293,Steven Caple Jr,"$651,579,916",3,"$217,193,305"
294,Donald Petrie,"$650,245,188",13,"$50,018,861"
295,Damien Chazelle,"$643,139,856",5,"$128,627,971"
296,James Bobin,"$637,804,611",5,"$127,560,922"
297,Walt Becker,"$637,418,966",5,"$127,483,793"
298,Herman Yau,"$633,938,902",19,"$33,365,205"
299,Taylor Hackford,"$632,738,278",15,"$42,182,552"
300,John Krasinski,"$632,700,273",5,"$126,540,055"
301,Xue Xiaolu,"$630,544,781",3,"$210,181,594"
302,Wuershan,"$630,363,423",3,"$210,121,141"
303,Andrew Lau,"$630,336,568",8,"$78,792,071"
304,Andy Fickman,"$630,008,244",12,"$52,500,687"
305,David Dobkin,"$623,700,070",7,"$89,100,010"
306,Ben Stiller,"$618,041,759",8,"$77,255,220"
307,Clyde Geronimi,"$607,396,772",7,"$86,770,967"
308,James L. Brooks,"$604,048,590",7,"$86,292,656"
309,Larry Charles,"$596,564,556",8,"$74,570,570"
310,Wes Anderson,"$596,465,457",15,"$39,764,364"
311,Stephen Frears,"$596,078,302",22,"$27,094,468"
312,Harold Ramis,"$595,733,928",11,"$54,157,630"
313,Catherine Hardwicke,"$594,844,952",14,"$42,488,925"
314,Michael Chaves,"$591,461,025",3,"$197,153,675"
315,Duncan Jones,"$590,004,396",5,"$118,000,879"
316,Gavin Hood,"$585,824,188",7,"$83,689,170"
317,Spike Lee,"$585,306,616",31,"$18,880,859"
318,Herbert Ross,"$583,034,336",19,"$30,686,018"
319,Nathan Greno,"$582,440,151",1,"$582,440,151"
320,Karey Kirkpatrick,"$580,079,586",3,"$193,359,862"
321,John Lee Hancock,"$579,209,611",8,"$72,401,201"
322,Sam Taylor-Johnson,"$578,661,150",5,"$115,732,230"
323,Haruo Sotozaki,"$578,578,362",9,"$64,286,485"
324,Mick Jackson,"$576,836,762",7,"$82,405,252"
325,Norman Jewison,"$573,947,588",22,"$26,088,527"
326,Kirk De Micco,"$573,068,425",1,"$573,068,425"
327,Shen Ao,"$572,190,255",2,"$286,095,128"
328,Jeff Tremaine,"$571,939,128",11,"$51,994,466"
329,Ol Parker,"$569,893,797",4,"$142,473,449"
330,Baltasar Kormakur,"$569,347,351",10,"$56,934,735"
331,Rupert Sanders,"$568,932,436",5,"$113,786,487"
332,Randal Kleiser,"$568,872,812",10,"$56,887,281"
333,Neil Burger,"$564,154,799",6,"$94,025,800"
334,Jordan Vogt-Roberts,"$562,434,668",3,"$187,478,223"
335,Jim Abrahams,"$560,178,776",8,"$70,022,347"
336,Harald Zwart,"$556,019,223",5,"$111,203,845"
337,Mark Andrews,"$554,763,947",2,"$277,381,974"
338,Robert Wise,"$554,158,868",17,"$32,597,580"
339,Peter Hyams,"$552,814,089",17,"$32,518,476"
340,Morten Tyldum,"$549,752,465",3,"$183,250,822"
341,Nick Cassavetes,"$549,325,630",12,"$45,777,136"
342,Richard Marquand,"$544,536,543",4,"$136,134,136"
343,Martin Brest,"$543,485,218",6,"$90,580,870"
344,Travis Knight,"$542,743,711",4,"$135,685,928"
345,Ethan Coen,"$542,621,743",10,"$54,262,174"
346,Yan Han (韩延),"$539,425,987",8,"$67,428,248"
347,Adam Wingard,"$538,005,955",11,"$48,909,632"
348,Guy Hamilton,"$537,457,339",10,"$53,745,734"
349,Emile Ardolino,"$537,282,767",6,"$89,547,128"
350,Alexander Payne,"$537,256,626",10,"$53,725,663"
351,Roger Michell,"$536,334,307",12,"$44,694,526"
352,Anthony Minghella,"$534,590,495",7,"$76,370,071"
353,Gabriele Muccino,"$533,338,493",10,"$53,333,849"
354,Phil Johnston,"$529,290,830",1,"$529,290,830"
355,Kent Seki,"$527,909,949",1,"$527,909,949"
356,Wilson Yip,"$526,423,842",6,"$87,737,307"
357,Tarsem Singh,"$525,526,331",6,"$87,587,722"
358,Ben Affleck,"$525,289,366",6,"$87,548,228"
359,Takashi Yamazaki,"$523,822,958",14,"$37,415,926"
360,P.J. Hogan,"$521,781,347",6,"$86,963,558"
361,Alessandro Carloni,"$521,170,825",1,"$521,170,825"
362,Rupert Wyatt,"$519,067,441",5,"$103,813,488"
363,Olivier Nakache,"$515,405,932",4,"$128,851,483"
364,Eric Toledano,"$515,405,932",4,"$128,851,483"
365,Yarrow Cheney,"$514,873,747",1,"$514,873,747"
366,Scott Mosier,"$514,873,747",1,"$514,873,747"
367,Amy Heckerling,"$514,226,329",9,"$57,136,259"
368,Kevin Costner,"$513,663,920",7,"$73,380,560"
369,Wilfred Jackson,"$509,648,028",8,"$63,706,004"
370,Destin Daniel Cretton,"$507,008,991",6,"$84,501,499"
371,Mimi Leder,"$506,909,625",7,"$72,415,661"
372,Andy Serkis,"$506,450,038",4,"$126,612,510"
373,Steve Hickner,"$506,207,765",2,"$253,103,883"
374,Jean-Jacques Annaud,"$505,759,323",11,"$45,978,120"
375,Darren Lynn Bousman,"$500,669,357",14,"$35,762,097"
376,Xiang Liu,"$496,673,324",2,"$248,336,662"
377,Huida Lin,"$491,748,959",3,"$163,916,320"
378,Daniel Espinosa,"$490,676,122",6,"$81,779,354"
379,Walter Hill,"$487,501,380",23,"$21,195,712"
380,John Moore,"$486,607,662",6,"$81,101,277"
381,Rui Cui (崔睿),"$486,153,324",1,"$486,153,324"
382,David Bowers,"$485,945,936",7,"$69,420,848"
383,Tate Taylor,"$485,803,895",8,"$60,725,487"
384,Dominic Sena,"$485,499,998",5,"$97,100,000"
385,Cal Brunker,"$484,763,968",5,"$96,952,794"
386,Mark Dindal,"$483,262,998",4,"$120,815,750"
387,Elizabeth Banks,"$481,581,564",7,"$68,797,366"
388,Sharon Maguire,"$479,893,436",3,"$159,964,479"
389,Gus Van Sant,"$479,881,582",17,"$28,228,328"
390,Xiaogang Feng,"$477,941,754",7,"$68,277,393"
391,Michael Gracey,"$475,725,966",4,"$118,931,492"
392,Jon Amiel,"$474,809,599",9,"$52,756,622"
393,Mark Steven Johnson,"$474,487,895",9,"$52,720,877"
394,George Cukor,"$473,639,059",14,"$33,831,361"
395,Chengpeng Dong (董成鹏),"$471,948,892",5,"$94,389,778"
396,Xiaozhi Rao (饶晓志),"$471,948,563",3,"$157,316,188"
397,Nick Park,"$471,866,556",8,"$58,983,320"
398,Penny Marshall,"$471,716,719",8,"$58,964,590"
399,Neil Jordan,"$470,774,513",20,"$23,538,726"
400,Daniel Lee,"$466,683,685",6,"$77,780,614"
401,Brian Robbins,"$464,734,306",10,"$46,473,431"
402,Joseph Ruben,"$463,461,326",10,"$46,346,133"
403,Greg Tiernan,"$461,327,348",5,"$92,265,470"
404,Patrick Hughes,"$461,078,413",5,"$92,215,683"
405,Robert Redford,"$460,681,656",9,"$51,186,851"
406,Chiyu Zhang,"$460,303,199",1,"$460,303,199"
407,Terry Gilliam,"$459,711,283",13,"$35,362,406"
408,Edgar Wright,"$456,844,280",8,"$57,105,535"
409,David Hand,"$455,171,725",4,"$113,792,931"
410,Les Mayfield,"$454,924,803",8,"$56,865,600"
411,Tony Gilroy,"$454,423,137",3,"$151,474,379"
412,Kunihiko Yuyama,"$454,258,059",10,"$45,425,806"
413,Wolfgang Reitherman,"$453,835,510",6,"$75,639,252"
414,Peter Chelsom,"$453,308,188",12,"$37,775,682"
415,David R. Ellis,"$452,842,101",6,"$75,473,684"
416,Joe Dante,"$452,559,314",17,"$26,621,136"
417,Dean Parisot,"$451,819,609",5,"$90,363,922"
418,Olivier Megaton,"$450,102,666",4,"$112,525,667"
419,Tian Yusheng,"$449,654,341",2,"$224,827,171"
420,Joon-ho Bong,"$449,225,826",8,"$56,153,228"
421,Chirs Buck,"$448,191,819",1,"$448,191,819"
422,Eric Brevig,"$447,955,627",2,"$223,977,814"
423,Michael Dougherty,"$445,116,216",3,"$148,372,072"
424,Chloé Zhao,"$444,813,627",5,"$88,962,725"
425,George Roy Hill,"$442,398,273",12,"$36,866,523"
426,Eli Roth,"$441,724,900",12,"$36,810,408"
427,S.S. Rajamouli,"$440,799,882",4,"$110,199,971"
428,Ariel Schulman,"$439,792,275",7,"$62,827,468"
429,Henry Joost,"$439,792,275",7,"$62,827,468"
430,George Clooney,"$438,365,448",9,"$48,707,272"
431,Roman Polanski,"$437,540,255",20,"$21,877,013"
432,Stephen Hopkins,"$436,549,629",11,"$39,686,330"
433,Blake Edwards,"$436,125,330",27,"$16,152,790"
434,Arthur Hiller,"$432,875,303",18,"$24,048,628"
435,Bradley Cooper,"$432,197,943",2,"$216,098,972"
436,Victor Fleming,"$431,228,064",4,"$107,807,016"
437,Craig Gillespie,"$430,347,419",8,"$53,793,427"
438,Joel Zwick,"$428,453,590",4,"$107,113,398"
439,John Francis Daley,"$427,539,531",3,"$142,513,177"
440,Jonathan Goldstein,"$427,539,531",3,"$142,513,177"
441,Jean-Pierre Jeunet,"$427,054,605",8,"$53,381,826"
442,Marc Lawrence,"$426,607,649",5,"$85,321,530"
443,George P. Cosmatos,"$424,545,859",8,"$53,068,232"
444,Bilall Fallah,"$424,534,411",4,"$106,133,603"
445,Adil El Arbi,"$424,534,411",4,"$106,133,603"
446,Alex Kurtzman,"$422,571,377",2,"$211,285,689"
447,Jimmy Hayward,"$420,887,654",3,"$140,295,885"
448,Hamilton Luske,"$418,640,749",7,"$59,805,821"
449,Josh Gordon,"$417,742,955",5,"$83,548,591"
450,Will Speck,"$417,742,955",5,"$83,548,591"
451,Wang Baoqiang,"$414,484,500",2,"$207,242,250"
452,Brian Helgeland,"$413,704,605",6,"$68,950,768"
453,Frank Darabont,"$413,616,487",5,"$82,723,297"
454,David Soren,"$413,319,527",3,"$137,773,176"
455,Jason Friedberg,"$413,130,983",10,"$41,313,098"
456,Lawrence Guterman,"$413,076,285",3,"$137,692,095"
457,Steve Oedekerk,"$412,611,461",4,"$103,152,865"
458,Sam Wood,"$408,316,513",5,"$81,663,303"
459,Ben Wheatley,"$408,139,364",12,"$34,011,614"
460,Lawrence Kasdan,"$406,557,149",11,"$36,959,741"
461,Bruce Beresford,"$405,539,259",29,"$13,984,112"
462,Mikael Hafstrom,"$405,268,356",9,"$45,029,817"
463,Michael Lembeck,"$404,918,010",10,"$40,491,801"
464,Pedro Almodovar,"$403,599,498",26,"$15,523,058"
465,Thor Freudenthal,"$403,355,217",4,"$100,838,804"
466,Tyler Gillett,"$403,020,649",9,"$44,780,072"
467,Matt Bettinelli-Olpin,"$403,020,649",9,"$44,780,072"
468,Mike Thurmeier,"$402,156,682",1,"$402,156,682"
469,Ken Kwapis,"$401,624,979",10,"$40,162,498"
470,Leonard Nimoy,"$401,387,573",6,"$66,897,929"
471,Bibo Bergeron,"$398,741,342",2,"$199,370,671"
472,Stanley Tong,"$398,038,678",8,"$49,754,835"
473,Simon Wells,"$397,949,526",7,"$56,849,932"
474,Stanley Kubrick,"$395,618,246",12,"$32,968,187"
475,Mike Gabriel,"$394,531,461",2,"$197,265,731"
476,Mel Brooks,"$393,154,574",10,"$39,315,457"
477,Xing Wenxiong,"$393,014,816",1,"$393,014,816"
478,Cate Shortland,"$384,474,052",4,"$96,118,513"
479,Stephen Daldry,"$384,079,560",8,"$48,009,945"
480,Brian Fee,"$383,541,369",1,"$383,541,369"
481,John Hamburg,"$382,793,278",5,"$76,558,656"
482,Adam Robitel,"$382,401,790",4,"$95,600,448"
483,Sidney Lumet,"$381,456,377",29,"$13,153,668"
484,Jill Culton,"$380,600,906",2,"$190,300,453"
485,Albert Hughes,"$379,227,500",7,"$54,175,357"
486,Kathryn Bigelow,"$378,863,264",9,"$42,095,918"
487,Sam Fell,"$377,959,105",4,"$94,489,776"
488,John Pasquin,"$376,239,359",4,"$94,059,840"
489,Bob Persichetti,"$375,464,627",1,"$375,464,627"
490,Rodney Rothman,"$375,464,627",1,"$375,464,627"
491,Pierre Morel,"$375,068,197",9,"$41,674,244"
492,Kirk Jones,"$373,717,279",5,"$74,743,456"
493,Don Bluth,"$369,755,472",10,"$36,975,547"
494,Florian Henckel von Donnersmarck,"$368,977,367",3,"$122,992,456"
495,Michel Gondry,"$368,690,684",13,"$28,360,822"
496,Stephen Gaghan,"$368,597,728",5,"$73,719,546"
497,Tom Dey,"$368,437,431",5,"$73,687,486"
498,Richard Curtis,"$368,250,509",4,"$92,062,627"
499,Simon J. Smith,"$366,942,531",1,"$366,942,531"
500,Lu Yang,"$366,917,797",3,"$122,305,932"
501,Steve Miner,"$366,898,368",14,"$26,207,026"
502,Ralph Zondag,"$366,158,097",4,"$91,539,524"
503,Corin Hardy,"$364,982,778",3,"$121,660,926"
504,Peter Lord,"$363,937,520",2,"$181,968,760"
505,Glenn Ficarra,"$362,924,448",6,"$60,487,408"
506,John Requa,"$362,924,448",6,"$60,487,408"
507,Frank Marshall,"$362,445,293",7,"$51,777,899"
508,Stephen Chbosky,"$361,403,758",4,"$90,350,940"
509,Jon Lucas,"$360,993,044",5,"$72,198,609"
510,Scott Moore,"$360,993,044",5,"$72,198,609"
511,Tom Tykwer,"$360,284,734",11,"$32,753,158"
512,Chris McKay,"$356,657,443",5,"$71,331,489"
513,Eric Leighton,"$356,148,063",1,"$356,148,063"
514,Penelope Spheeris,"$356,086,482",11,"$32,371,498"
515,Michael Moore,"$354,058,852",11,"$32,187,168"
516,James Wong,"$354,035,504",4,"$88,508,876"
517,Clay Kaytis,"$352,288,341",3,"$117,429,447"
518,Fergal Reilly,"$352,288,341",1,"$352,288,341"
519,Josh Boone,"$351,893,350",3,"$117,297,783"
520,Hal Needham,"$350,465,707",10,"$35,046,571"
521,Chao Deng,"$348,265,683",4,"$87,066,421"
522,Hugh Wilson,"$347,622,020",8,"$43,452,753"
523,Alan Parker,"$347,610,630",14,"$24,829,331"
524,Eric Goldberg,"$347,100,000",1,"$347,100,000"
525,Warren Beatty,"$344,613,687",5,"$68,922,737"
526,Michael Caton-Jones,"$344,324,571",12,"$28,693,714"
527,Noam Murro,"$342,435,670",2,"$171,217,835"
528,Steven Brill,"$340,478,394",9,"$37,830,933"
529,Michael Ritchie,"$339,966,005",18,"$18,887,000"
530,David Lam,"$336,956,441",9,"$37,439,605"
531,Peter Hewitt,"$336,023,809",8,"$42,002,976"
532,Joe Carnahan,"$336,007,424",11,"$30,546,129"
533,Jonathan Frakes,"$334,820,272",6,"$55,803,379"
534,Robert Altman,"$334,568,590",24,"$13,940,358"
535,Baimei Yu,"$333,329,075",3,"$111,109,692"
536,Randall Wallace,"$332,916,234",4,"$83,229,059"
537,Peter Faiman,"$332,474,528",2,"$166,237,264"
538,Jon Avnet,"$332,248,813",8,"$41,531,102"
539,Rob Bowman,"$331,011,050",4,"$82,752,763"
540,Alexandre Aja,"$330,152,206",11,"$30,013,837"
541,Scott Waugh,"$329,423,261",7,"$47,060,466"
542,Olivier Magaton,"$327,656,424",1,"$327,656,424"
543,Gary Winick,"$327,346,184",6,"$54,557,697"
544,Howard Deutch,"$326,558,383",10,"$32,655,838"
545,Allen Hughes,"$326,442,664",9,"$36,271,407"
546,Jonathan Levine,"$324,451,649",7,"$46,350,236"
547,Richard Linklater,"$324,318,075",22,"$14,741,731"
548,Wayne Wang,"$323,421,384",18,"$17,967,855"
549,John Hughes,"$322,272,587",8,"$40,284,073"
550,James DeMonaco,"$321,316,189",6,"$53,552,698"
551,Kevin Greutert,"$320,890,710",7,"$45,841,530"
552,Greg Mottola,"$320,226,645",8,"$40,028,331"
553,Roger Kumble,"$319,879,634",9,"$35,542,182"
554,Tommy Wirkola,"$319,733,262",9,"$35,525,918"
555,Steven Quale,"$319,727,892",5,"$63,945,578"
556,Beeban Kidron,"$318,601,467",5,"$63,720,293"
557,Jackie Chan,"$318,221,384",7,"$45,460,198"
558,Paul Thomas Anderson,"$317,694,273",10,"$31,769,427"
559,Harold Becker,"$317,475,718",9,"$35,275,080"
560,Jose Padilha,"$316,917,988",4,"$79,229,497"
561,Alejandro Amenábar,"$316,137,417",6,"$52,689,570"
562,Miloš Forman,"$315,580,403",9,"$35,064,489"
563,Ron Shelton,"$315,251,774",9,"$35,027,975"
564,Christopher Landon,"$314,229,917",7,"$44,889,988"
565,Andrew Niccol,"$314,168,662",7,"$44,881,237"
566,Nitesh Tiwari,"$312,196,710",5,"$62,439,342"
567,"George Tillman, Jr","$311,677,093",8,"$38,959,637"
568,Kenny Ortega,"$311,266,521",8,"$38,908,315"
569,Paul Tibbitt,"$311,013,181",1,"$311,013,181"
570,Stephen Norrington,"$310,502,892",3,"$103,500,964"
571,Phil Alden Robinson,"$310,490,792",5,"$62,098,158"
572,Breck Eisner,"$308,909,836",3,"$102,969,945"
573,John Carpenter,"$307,467,335",20,"$15,373,367"
574,Tony Chan,"$304,345,923",5,"$60,869,185"
575,Richard Attenborough,"$303,289,110",10,"$30,328,911"
576,XiaoPeng Tian,"$303,058,128",2,"$151,529,064"
577,Gregory Hoblit,"$302,816,037",5,"$60,563,207"
578,David Green,"$302,803,370",5,"$60,560,674"
579,Charles Shyer,"$302,578,210",8,"$37,822,276"
580,Gary Fleder,"$302,367,519",9,"$33,596,391"
581,Benjamin Renner,"$300,170,376",3,"$100,056,792"
582,Andrzej Bartkowiak,"$298,879,572",7,"$42,697,082"
583,Joe Roth,"$297,549,256",6,"$49,591,543"
584,Emma Tammi,"$297,246,075",3,"$99,082,025"
585,Simon Wincer,"$296,435,755",12,"$24,702,980"
586,Marcus Nispel,"$295,306,342",5,"$59,061,268"
587,Fede Álvarez,"$292,899,737",5,"$58,579,947"
588,Hoyt H. Yeatman,"$292,817,841",1,"$292,817,841"
589,Luke Greenfield,"$292,647,348",5,"$58,529,470"
590,David Twohy,"$292,595,387",8,"$36,574,423"
591,Josh Trank,"$292,290,601",3,"$97,430,200"
592,Cheang Pou-Soi,"$291,628,574",3,"$97,209,525"
593,Carl Reiner,"$291,264,710",11,"$26,478,610"
594,Aaron Seltzer,"$291,264,066",8,"$36,408,008"
595,Steven S. DeKnight,"$290,930,148",1,"$290,930,148"
596,Ben Stassen,"$289,949,961",10,"$28,994,996"
597,David Lean,"$288,926,344",10,"$28,892,634"
598,Jesse Dylan,"$288,196,929",3,"$96,065,643"
599,Benny Chan,"$286,824,964",6,"$47,804,161"
600,Richard Benjamin,"$286,390,191",12,"$23,865,849"
601,Theodore Melfi,"$284,501,758",4,"$71,125,440"
602,Greg MacGillivray,"$284,380,864",10,"$28,438,086"
603,Soi Cheang,"$282,929,944",5,"$56,585,989"
604,Chris Noonan,"$281,991,257",2,"$140,995,629"
605,Rajkumar Hirani,"$281,910,789",5,"$56,382,158"
606,Martin McDonagh,"$281,065,906",4,"$70,266,477"
607,John R. Leonetti,"$280,339,254",4,"$70,084,814"
608,Takehiko Inoue,"$280,318,793",1,"$280,318,793"
609,Peter Cattaneo,"$279,413,417",5,"$55,882,683"
610,Richard LaGravenese,"$278,005,964",8,"$34,750,746"
611,Kim Hanmin,"$277,873,016",4,"$69,468,254"
612,Steve Rodney McQueen,"$277,505,527",6,"$46,250,921"
613,Sam Weisman,"$277,277,494",5,"$55,455,499"
614,Nia DaCosta,"$277,264,885",5,"$55,452,977"
615,Scott Hicks,"$277,242,969",9,"$30,804,774"
616,Sofia Coppola,"$276,902,055",8,"$34,612,757"
617,Yuen Woo Ping,"$276,653,124",6,"$46,108,854"
618,Leigh Whannell,"$276,441,681",5,"$55,288,336"
619,James McTeigue,"$276,214,518",5,"$55,242,904"
620,Roar Uthaug,"$276,125,838",5,"$55,225,168"
621,Kobun Shizuno,"$275,824,547",10,"$27,582,455"
622,Jeff Wadlow,"$275,661,061",10,"$27,566,106"
623,John Guillermin,"$274,963,147",10,"$27,496,315"
624,Mo Dai,"$274,537,486",2,"$137,268,743"
625,Michael B. Jordan,"$274,448,615",2,"$137,224,308"
